id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"11","11","754363","0.00091028","0.54806872","0.42735597","0.55645891","0.44354109","0.06416736","0.29503168","0.00111443","0.07556716","0.02698472","583256","0.12071275",#2020ff,"0.5"
"12","12","753213","-0.00061557","0.26254625","0.71801094","0.88627399","0.11372601","0.05125253","0.02360507","0.00107357","0.01227085","0.02056864","591483","-0.45546469",#960018,"0.5"
"13","13","754251","0.00076168","0.55244366","0.41993431","0.66700987","0.33299013","0.20979866","0.04528035","0.00141485","0.05629467","0.02011918","594408","0.13250935",#2020ff,"0.5"
"14","14","753717","5.315e-05","0.53676487","0.43377573","0.65402568","0.34597432","0.06967103","0.17150261","0.00111733","0.09156506","0.0187857","574586","0.10298914",#2020ff,"0.5"
"15","15","753019","-0.00087298","0.31510656","0.66224274","0.91414179","0.08585821","0.03046128","0.0213802","0.00099356","0.00997291","0.01883018","589798","-0.34713618",#960018,"0.5"
"16","16","753363","-0.00041655","0.55697455","0.41312779","0.6831684","0.3168316","0.09912206","0.15112314","0.00091899","0.05418776","0.01708634","582161","0.14384676",#2020ff,"0.5"
"17","17","753003","-0.0008942","0.5320406","0.44254695","0.70350585","0.29649415","0.14452269","0.09492859","0.00130434","0.03860449","0.01959419","585735","0.08949365",#6a6aff,"0.5"
"1","1","753749","-0.00026335","0.50147001","0.48260627","0.61162017","0.38837983","0.18368432","0.14749993","0.0056039","0.0410878","0.02047936","581024","0.01886374",#c5c5ff,"0.5"
"2","2","754525","0.00076589","0.50156783","0.48172593","0.70900515","0.29099485","0.13702598","0.09627699","0.0013481","0.03635729","0.02131039","578591","0.0198419",#c4c4ff,"0.5"
"3","3","753856","-0.00012143","0.28477514","0.69848311","0.90142472","0.09857528","0.02912856","0.03655953","0.00091236","0.01153482","0.01763072","567759","-0.41370797",#960018,"0.5"
"4","4","753493","-0.0006029","0.33747889","0.64452216","0.86305057","0.13694943","0.05133835","0.04043347","0.00113363","0.02033027","0.02002459","572496","-0.30704327",#960018,"0.5"
"5","5","753999","6.823e-05","0.56904184","0.41295708","0.63660819","0.36339181","0.18695122","0.09363765","0.00127155","0.06695108","0.01714642","564666","0.15608476",#2020ff,"0.5"
"6","6","753627","-0.00042517","0.27492035","0.70834301","0.87902685","0.12097315","0.02588281","0.05852631","0.00084184","0.01134156","0.02056035","578492","-0.43342266",#960018,"0.5"
"7","7","753747","-0.00026601","0.56314166","0.42062483","0.6591511","0.3408489","0.20276925","0.07523519","0.00136283","0.04409102","0.0203703","582613","0.14251683",#2020ff,"0.5"
"8","8","754027","0.00010537","0.31164271","0.67161476","0.891947","0.108053","0.04634575","0.02472593","0.00149073","0.01327994","0.01838052","585620","-0.35997205",#960018,"0.5"
"9","9","754505","0.00073937","0.28623518","0.69647196","0.89421281","0.10578719","0.02980985","0.03539199","0.00105966","0.01598265","0.02118118","581318","-0.41023678",#960018,"0.5"
"1","1","734609","0.00018925","0.24026807","0.74142883","0.8033938","0.1966062","0.02656465","0.12652771","0.00211054","0.01323637","0.03047933","554835","-0.50116076",#960018,"0.5"
"2","2","734867","0.00054053","0.31130921","0.67086781","0.83279579","0.16720421","0.03309401","0.06476587","0.00198629","0.02222654","0.04424628","551278","-0.3595586",#960018,"0.5"
"3","3","734576","0.00014432","0.54361825","0.4388497","0.70493864","0.29506136","0.09667427","0.11584368","0.00197674","0.05650374","0.02588748","558494","0.10476855",#2020ff,"0.5"
"4","4","733828","-0.0008741","0.54244089","0.4389942","0.68251967","0.31748033","0.10837086","0.1256966","0.00282978","0.04919348","0.03919895","564709","0.10344669",#2020ff,"0.5"
"1","1","750436","-0.00071463","0.25624639","0.73042462","0.86530155","0.13469845","0.07202929","0.02865321","0.00128747","0.01045726","0.02069648","577876","-0.47417823",#960018,"0.5"
"2","2","750774","-0.00026455","0.23811556","0.7489475","0.88363716","0.11636284","0.04731412","0.02988032","0.00167629","0.0147122","0.02009992","576868","-0.51083194",#960018,"0.5"
"3","3","751435","0.00061565","0.51925875","0.46233748","0.71576208","0.28423792","0.15336837","0.07093164","0.00229524","0.03991614","0.02025283","588609","0.05692127",#9494ff,"0.5"
"4","4","750595","-0.0005029","0.30400797","0.67937118","0.89932267","0.10067733","0.03564049","0.02728654","0.00146747","0.01306621","0.0197142","574459","-0.37536321",#960018,"0.5"
"5","5","751737","0.00101779","0.19401822","0.79213512","0.93300787","0.06699213","0.02351693","0.0153334","0.00070967","0.00658419","0.0187772","583367","-0.5981169",#960018,"0.5"
"6","6","750859","-0.00015136","0.51818689","0.46165028","0.70969126","0.29030874","0.18157231","0.05647471","0.00245744","0.03300894","0.01912579","582721","0.05653661",#9595ff,"0.5"
